AVDBS_URL, 품번, 한글명, 일어명, 영어명, 출시일, 출연, 제작사, 레이블, 시리즈, 감독, 재생시간
https://www.avdbs.com/menu/dvd.php?dvd_idx=166,AUKG-211,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.01,#사쿠라이아유#사사키레미#아이카와유이#사이온지레오#아이카사야#이와사아유미,#U&K,U&K,レズペット,,110min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=167,SMT-015,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2014.01.01,#사사키레미,#밀월,숙녀,,,119min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=168,CGQ-003,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.12.19,#사사키레미,#글로리퀘스트,GLORYQUEST,ベロちゅう(グローリークエスト),DOPAMIX,127min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=169,DDK-088,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.12.19,#사사키레미,#도그마,Dogma,,노멀KIM,117min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=171,ALD-683,사쿠라이아유,桜井あゆ,AyuSakurai,2013.12.07,#사쿠라이아유#사이키유아#치바나메이사#아이노유나#미나세유카#사사키레미,#모모타로영상출판,ALLIN☆ONE,,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=172,SON-116,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.12.06,#키사키히카리#토도우루시아#카자마유미#사사키레미#七海#大野実花,#크리스털영상,업슨,,TAZOO,130min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=173,CAMP-003,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.11.28,#사사키레미,#타카라영상,특급,不倫たび,오오무라다이,142min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=174,VDD-087,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.11.22,#사사키레미,#드림티켓,VIVID(드림티켓),협박스위트룸,타크앙,110min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=175,SON-114,사쿠라유,さくら悠,YuSakura,2013.11.08,#사쿠라유#헨미마이#사사키레미,#크리스털영상,업슨,いつでも、どこでもベロちゅう,타우린,135min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=179,GOTV-035,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.10.29,#사사키레미,#GOT,Bejean,呼んだデリヘル嬢が部下の嫁だったので口止め代わりに生中出し！,,75min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=181,ARM-292,호시노아카리,星野あかり,AkariHoshino,2016.04.23,#호시노아카리#오시로카에데#타케우치사리나#코하쿠우타#마이카#스도사키#사사키레미,#아로마기획,프레저아울렛,色気ムンムンフェロモン美女大胆パンチラコレクション,카사이타카히토,170min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=182,ARM-287,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.10.13,#사쿠라이아유#사사키레미#아이자와렌#아리모토사요#호시노아카리,#아로마기획,AROMA,,우메킨,112min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=183,ARM-289,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2016.03.23,#사사키레미#아이자와렌#스즈키아리스#스도사키,#아로마기획,프레저아울렛,CFNM羞恥手コキ株式会社,츠노와키시게오,120min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=184,RDT-165,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.10.11,#마츠스미레#사사키레미#나츠메레이코,#프레스티지,REALDOCUMENT,「ちょっとそこまでだから…」,,120min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=185,SILK-035,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.10.10,#시노미야유리#사사키레미#아베노미쿠,#SILKLABO,SILKLABO,FacetoFace,KINO,135min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=187,KMON-008,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.09.26,#사사키레미#浦友佳#스즈무라미유우#토모다아야카,#타카라영상,화문,人妻美尻ディルドオナニー,,100min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=188,ARM-282,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2016.04.23,#사카시타에미리#사사키레미#츠바키카나리#오이시미사키#후지에요시에#아사쿠라코토미#清水のぞみ#치가사키아리스,#아로마기획,프레저아울렛,極楽悶絶スケベ椅子,츠노와키시게오,105min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=189,ARM-284,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2016.04.23,#타키가와카논#사사키레미#니이야마카에데#아사다바나나#오이시미사키#佐山あづみ,#아로마기획,프레저아울렛,パンチラ挑発番外編,카사이타카히토,120min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=190,ALD-655,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.09.07,#미즈모토유우나#사사키레미#타치바나에레나#아리사와리사#카자마유미#카와카미유,#모모타로영상출판,ALLIN☆ONE,○○を無理矢理犯る！,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=191,ALD-649,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.09.07,#우에하라아이#사사키레미#나루미야루리#오오호리카나#카토츠바키#카와카미유#카이미하루#마키쿄코#桐谷みゆ,#모모타로영상출판,ALLIN☆ONE,,,240min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=193,TGAV-053,사쿠라이아유,桜井あゆ,AyuSakurai,2013.09.03,#사쿠라이아유#아오이코하루#사사키레미#佐山あづみ#오이시미사키,#프레스티지,TOYGIRL,僕の家庭教師はいつもミニスカばかりで目のやり場に困る,,125min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=194,PAF-010,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.08.25,#오츠키히비키#이와사아유미#사사키레미#카토츠바키,#AVScollector's,Paraphilia,欲求不満な美人妻たちのセンズリ鑑賞,ライオンズ堀川,130min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=195,ARM-276,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.08.25,#사사키레미,#아로마기획,AROMA,,우치다카네토키,122min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=196,NATR-255,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.08.23,#사사키레미,#나데시코,Nadeshiko,隣の新妻,키세이모토야,127min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=197,HPF-007,사와무라레이코,澤村レイコ（高坂保奈美、高坂ますみ）,ReikoSawamura,2013.08.20,#사와무라레이코#이타노유키#사사키레미#미야시타츠바사#하츠미사키#스노하라미키,#최●연구소,최면소안,최면소안,,135min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=198,DSKM-070,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.08.14,#사사키레미#코미네미코#오츠키히비키#세나아유무,#OFFICEK'S,스키마(ERECT),,,99min,
https://www.avdbs.com/menu/dvd.php?dvd_idx=199,DSKM-069,사사키레미,佐々木恋海（向井恋）,RemiSasaki,2013.08.14,#和久井りん#吉村杏菜#스즈무라미유우#사사키레미,#OFFICEK'S,스키마(ERECT),,,120min,
